220.181.108.144 - - [09/Mar/2018:16:10:55 -0800] "GET /projects/pdfs/Bobs_Warehouse.pdf HTTP/1.1" 200 131758 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.claengineers.com"
217.69.133.235 - - [09/Mar/2018:16:40:00 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" "claengineers.com"
66.249.69.252 - - [09/Mar/2018:16:43:22 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.claengineers.com"
216.244.66.197 - - [09/Mar/2018:16:54:48 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" "www.claengineers.com"
157.55.39.148 - - [09/Mar/2018:17:03:15 -0800] "GET /projects/pdfs/Structural_Investigations.pdf HTTP/1.1" 200 936066 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.claengineers.com"
32.216.77.84 - - [09/Mar/2018:17:20:25 -0800] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [09/Mar/2018:17:20:25 -0800] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [09/Mar/2018:17:20:25 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [09/Mar/2018:17:20:25 -0800] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [09/Mar/2018:17:20:25 -0800] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [09/Mar/2018:17:20:25 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [09/Mar/2018:17:20:25 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [09/Mar/2018:17:20:25 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
148.64.56.74 - - [09/Mar/2018:17:23:33 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; GrapeshotCrawler/2.0; +http://www.grapeshot.co.uk/crawler.php)" "www.claengineers.com"
148.64.56.74 - - [09/Mar/2018:17:23:36 -0800] "GET / HTTP/1.1" 200 7070 "-" "Mozilla/5.0 (compatible; GrapeshotCrawler/2.0; +http://www.grapeshot.co.uk/crawler.php)" "www.claengineers.com"
216.244.66.197 - - [09/Mar/2018:18:50:18 -0800] "GET /about/links.html HTTP/1.1" 200 6126 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" "www.claengineers.com"
209.250.241.22 - - [09/Mar/2018:19:19:04 -0800] "GET / HTTP/1.1" 200 7070 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36" "www.claengineers.com"
209.250.241.22 - - [09/Mar/2018:19:19:05 -0800] "GET /about/index.html HTTP/1.1" 200 6360 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36" "www.claengineers.com"
209.250.241.22 - - [09/Mar/2018:19:19:05 -0800] "GET /about/staff.html HTTP/1.1" 200 7455 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36" "www.claengineers.com"
209.250.241.22 - - [09/Mar/2018:19:19:05 -0800] "GET /about/links.html HTTP/1.1" 200 6126 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36" "www.claengineers.com"
209.250.241.22 - - [09/Mar/2018:19:19:06 -0800] "GET /contact.html HTTP/1.1" 200 6962 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36" "www.claengineers.com"
